Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)
33	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-009	1	Roots:PositiveFactor1	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	2	2	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	3	
34	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-009	1	Roots:PositiveFactor2	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	1	1	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	4	
35	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-009	1	Roots:PositiveResult	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	5	5	.	correct	0	0	1	.	Write given square as whole number	2	
36	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-009	1	Roots:PositiveRoot	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	3	3	.	correct	0	0	1	.	Determine positive square root	6	
37	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-011	1	Roots:NumberLine	8/26/2015 12:36	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	9	9	.	correct	0	0	1	.	Construct square from area	3	
38	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-011	1	Roots:PositiveFactor1	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	5	5	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	5	
39	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-011	1	Roots:PositiveFactor2	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	2	2	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	6	
40	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-011	1	Roots:PositiveResult	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	5	5	.	correct	0	0	1	.	Write given square as whole number	3	
41	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-011	1	Roots:PositiveRoot	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	7	7	.	correct	0	0	1	.	Determine positive square root	7	
42	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-007	1	Roots:NumberLine	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	4	4	.	correct	0	0	1	.	Construct square from area	4	
43	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-007	1	Roots:PositiveFactor1	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	2	2	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	7	
44	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-007	1	Roots:PositiveFactor2	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	1	1	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	8	
45	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-007	1	Roots:PositiveResult	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	3	3	.	correct	0	0	1	.	Write given square as whole number	4	
46	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-007	1	Roots:PositiveRoot	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	2	2	.	correct	0	0	1	.	Determine positive square root	8	
47	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-018	1	Roots:NumberLine	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	8/26/2015 12:37	6	6	.	correct	0	0	1	.	Construct square from side length	5	
48	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-018	1	Roots:PositiveFactor1	8/26/2015 12:37	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	1.5	1.5	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	9	
49	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-018	1	Roots:PositiveFactor2	8/26/2015 12:37	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	1.5	1.5	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	10	
50	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-018	1	Roots:PositiveResult	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	37	.	37	incorrect	1	0	1	.	Write given whole number as square	5	
51	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-018	1	Roots:PositiveRoot	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	2	2	.	correct	0	0	1	.	Determine positive square root	9	
52	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-020	1	Roots:NumberLine	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	4	4	.	correct	0	0	1	.	Construct square from side length	6	
53	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-020	1	Roots:PositiveFactor1	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	2	2	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	11	
54	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-020	1	Roots:PositiveFactor2	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:38	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	12	
55	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-020	1	Roots:PositiveResult	8/26/2015 12:38	8/26/2015 12:38	8/26/2015 12:39	8/26/2015 12:39	17	.	17	incorrect	1	0	1	.	Write given whole number as square	6	
56	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-020	1	Roots:PositiveRoot	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	2	2	.	correct	0	0	1	.	Determine positive square root	10	
57	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-006	1	Roots:NumberLine	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	11	11	.	correct	0	0	1	.	Construct square from side length	7	
58	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-006	1	Roots:PositiveFactor1	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	2	2	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	13	
59	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-006	1	Roots:PositiveFactor2	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	14	
60	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-006	1	Roots:PositiveResult	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	4	4	.	correct	0	0	1	.	Write given whole number as square	7	
61	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-006	1	Roots:PositiveRoot	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	2	2	.	correct	0	0	1	.	Determine positive square root	11	
62	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-002	1	Roots:NumberLine	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	3	3	.	correct	0	0	1	.	Construct square from side length	8	
63	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-002	1	Roots:PositiveFactor1	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	2	2	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	15	
64	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-002	1	Roots:PositiveFactor2	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	16	
65	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-002	1	Roots:PositiveResult	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	1	1	.	correct	0	0	1	.	Write given whole number as square	8	
66	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-002	1	Roots:PositiveRoot	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	8/26/2015 12:39	1	1	.	correct	0	0	1	.	Determine positive square root	12	
67	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-030	1	Roots:NumberLine	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	3	3	.	correct	0	0	1	.	Construct square from side length	9	
68	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-030	1	Roots:PositiveFactor1	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	2	2	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	17	
69	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-030	1	Roots:PositiveFactor2	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	18	
70	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-030	1	Roots:PositiveResult	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	18	18	.	correct	0	0	1	.	Write given whole number as square	9	
71	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-030	1	Roots:PositiveRoot	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	1	1	.	correct	0	0	1	.	Determine positive square root	13	
72	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-2"	cube1-002	1	Roots:Factor1	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	8/26/2015 12:40	11	.	11	incorrect	1	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	19	
